Line ID,Line Name,Line Description,Control,Strain(s),Line Experimenter,Line Contact,Media,Assay ID,Assay Name,Type,Formal Type ID,Measurement Updated,X Units,Y Units,27.0
4397,C1-S11-B1.1-R2,None,F,JBEI-17785,,,2% Glucose,5463,C1-S11-B1.1-R2,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:18:56.847748+00:00,hours,,0.0
4397,C1-S11-B1.1-R2,None,F,JBEI-17785,,,2% Glucose,5463,C1-S11-B1.1-R2,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:18:56.887967+00:00,hours,,0.0
4397,C1-S11-B1.1-R2,None,F,JBEI-17785,,,2% Glucose,5463,C1-S11-B1.1-R2,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:18:56.926588+00:00,hours,,736006.0
4398,C1-S12-B1.1-R1,None,F,JBEI-17786,,,2% Glucose,5479,C1-S12-B1.1-R1,AHR_ECOLI,,2018-05-09 00:19:00.109980+00:00,hours,,1650.0
4398,C1-S12-B1.1-R1,None,F,JBEI-17786,,,2% Glucose,5479,C1-S12-B1.1-R1,LCFA_ECOLI,,2018-05-09 00:19:00.129945+00:00,hours,,516401.0
4398,C1-S12-B1.1-R1,None,F,JBEI-17786,,,2% Glucose,5479,C1-S12-B1.1-R1,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:00.149783+00:00,hours,,76399.0
4398,C1-S12-B1.1-R1,None,F,JBEI-17786,,,2% Glucose,5479,C1-S12-B1.1-R1,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:00.169983+00:00,hours,,0.0
4398,C1-S12-B1.1-R1,None,F,JBEI-17786,,,2% Glucose,5479,C1-S12-B1.1-R1,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:00.189885+00:00,hours,,352.0
4398,C1-S12-B1.1-R1,None,F,JBEI-17786,,,2% Glucose,5479,C1-S12-B1.1-R1,A1U3L3,tr|A1U3L3|A1U3L3_MARHV,2018-05-09 00:19:00.209434+00:00,hours,,740579.0
4399,C1-S12-B1.1-R2,None,F,JBEI-17786,,,2% Glucose,5480,C1-S12-B1.1-R2,AHR_ECOLI,,2018-05-09 00:19:00.229728+00:00,hours,,669.0
4399,C1-S12-B1.1-R2,None,F,JBEI-17786,,,2% Glucose,5480,C1-S12-B1.1-R2,LCFA_ECOLI,,2018-05-09 00:19:00.249418+00:00,hours,,530998.0
4399,C1-S12-B1.1-R2,None,F,JBEI-17786,,,2% Glucose,5480,C1-S12-B1.1-R2,"Dodecanoyl-[acyl-carrier-protein] hydrolase, chloroplastic",sp|Q41635|FATB_UMBCA,2018-05-09 00:19:00.270034+00:00,hours,,77474.0
4399,C1-S12-B1.1-R2,None,F,JBEI-17786,,,2% Glucose,5480,C1-S12-B1.1-R2,Fatty acyl-CoA reductase,sp|Q6F7B8|ACR1_ACIAD,2018-05-09 00:19:00.291021+00:00,hours,,0.0
4399,C1-S12-B1.1-R2,None,F,JBEI-17786,,,2% Glucose,5480,C1-S12-B1.1-R2,A1U2T0,tr|A1U2T0|A1U2T0_MARHV,2018-05-09 00:19:00.311134+00:00,hours,,0.0
